基金代码,基金名称,日期,净值,近一周,近一月,近三月,近半年,近一年,今年以来,基金的详细链接
375010,上投摩根中国优势混合,01-26,2.2948,7.65%,18.13%,36.76%,39.33%,82.73%,16.52%,https://www.howbuy.com/fund/375010
167002,平安鼎越混合LOF,01-26,2.1021,6.39%,10.71%,36.76%,38.49%,60.26%,10.29%,https://www.howbuy.com/fund/167002
009057,博时科技创新混合A,01-26,1.8884,4.42%,15.35%,36.75%,48.05%,--,12.13%,https://www.howbuy.com/fund/009057
001216,易方达新收益混合A,01-26,4.3510,7.67%,17.98%,36.65%,58.56%,108.08%,16.00%,https://www.howbuy.com/fund/001216
006736,国投瑞银先进制造混合,01-26,2.9599,3.07%,11.29%,36.65%,48.28%,98.42%,6.98%,https://www.howbuy.com/fund/006736
009878,平安低碳经济混合A,01-26,1.3218,6.97%,13.13%,36.59%,--,--,9.38%,https://www.howbuy.com/fund/009878
001217,易方达新收益混合C,01-26,4.2490,7.65%,17.96%,36.58%,58.43%,107.67%,15.97%,https://www.howbuy.com/fund/001217
009058,博时科技创新混合C,01-26,1.8811,4.41%,15.30%,36.58%,47.69%,--,12.09%,https://www.howbuy.com/fund/009058
001832,易方达瑞恒混合,01-26,2.7640,4.70%,13.14%,36.56%,55.72%,111.64%,8.65%,https://www.howbuy.com/fund/001832
008811,鹏华科技创新混合,01-26,1.6557,4.97%,13.86%,36.55%,42.57%,66.87%,8.55%,https://www.howbuy.com/fund/008811
008985,东方红启东三年持有混合,01-26,2.0622,6.63%,18.21%,36.52%,53.69%,--,13.68%,https://www.howbuy.com/fund/008985
020005,国泰金马稳健混合,01-26,1.6690,5.77%,13.24%,36.51%,51.02%,91.98%,9.12%,https://www.howbuy.com/fund/020005
550009,信诚中小盘混合,01-26,4.0610,5.70%,14.04%,36.41%,48.48%,80.97%,14.52%,https://www.howbuy.com/fund/550009
001127,中银宏观策略混合,01-26,1.3050,5.84%,15.18%,36.36%,46.96%,80.75%,12.50%,https://www.howbuy.com/fund/001127
570008,诺德周期策略混合,01-26,4.3320,7.41%,12.23%,36.36%,57.64%,144.47%,10.06%,https://www.howbuy.com/fund/570008
007355,汇添富科技创新混合A,01-26,2.4547,5.53%,22.58%,36.34%,43.61%,86.57%,15.17%,https://www.howbuy.com/fund/007355
000336,农银研究精选混合,01-26,3.9321,3.04%,8.19%,36.30%,65.90%,153.16%,7.15%,https://www.howbuy.com/fund/000336
009879,平安低碳经济混合C,01-26,1.3169,6.95%,13.05%,36.30%,--,--,9.31%,https://www.howbuy.com/fund/009879
560003,益民创新优势混合,01-26,1.7327,6.88%,11.09%,36.19%,37.00%,99.00%,7.24%,https://www.howbuy.com/fund/560003
001857,易方达现代服务业混合,01-26,2.5140,6.66%,12.03%,36.19%,51.35%,104.06%,7.16%,https://www.howbuy.com/fund/001857
009576,东方红智远三年持有混合,01-26,1.5554,3.19%,15.76%,36.18%,50.67%,--,10.11%,https://www.howbuy.com/fund/009576
002190,农银新能源主题混合,01-26,2.8645,3.10%,3.31%,36.13%,74.81%,146.92%,2.71%,https://www.howbuy.com/fund/002190
000073,上投摩根成长动力混合,01-26,3.0630,9.31%,15.25%,36.13%,39.54%,87.22%,12.60%,https://www.howbuy.com/fund/000073
008988,大成科技创新混合A,01-26,1.7004,8.47%,18.42%,36.12%,39.76%,--,13.46%,https://www.howbuy.com/fund/008988
002780,前海联合泓鑫混合A,01-26,3.5750,7.45%,16.71%,36.10%,53.18%,126.98%,14.01%,https://www.howbuy.com/fund/002780
007356,汇添富科技创新混合C,01-26,2.4201,5.51%,22.49%,36.07%,43.03%,85.07%,15.10%,https://www.howbuy.com/fund/007356
005545,中银改革红利灵活配置混合,01-26,2.6000,6.68%,15.39%,36.05%,44.36%,83.69%,13.10%,https://www.howbuy.com/fund/005545
100020,富国天益价值混合A,01-26,3.2053,7.91%,13.89%,36.00%,43.68%,106.88%,9.00%,https://www.howbuy.com/fund/100020
008989,大成科技创新混合C,01-26,1.6955,8.47%,18.38%,35.99%,39.49%,--,13.43%,https://www.howbuy.com/fund/008989
005481,银华瑞泰灵活配置混合,01-26,2.3535,5.75%,14.19%,35.98%,38.73%,101.36%,8.18%,https://www.howbuy.com/fund/005481
