基金代码,基金名称,日期,净值,近一周,近一月,近三月,近半年,近一年,今年以来,基金的详细链接
003634,嘉实农业产业股票,01-26,2.3530,4.07%,7.35%,16.21%,19.54%,81.95%,3.93%,https://www.howbuy.com/fund/003634
008737,南方高股息股票C,01-26,1.1706,1.31%,8.81%,16.15%,17.06%,--,4.31%,https://www.howbuy.com/fund/008737
007471,博道叁佰智航股票C,01-26,1.8253,1.69%,9.31%,16.12%,22.50%,56.12%,5.68%,https://www.howbuy.com/fund/007471
007287,合煦智远消费主题股票A,01-26,1.4569,1.20%,9.95%,16.05%,24.50%,39.52%,6.50%,https://www.howbuy.com/fund/007287
002289,华商改革创新股票,01-26,1.9827,2.66%,6.13%,15.99%,13.46%,45.02%,1.53%,https://www.howbuy.com/fund/002289
004350,汇丰晋信价值先锋股票,01-26,1.9951,-1.14%,7.56%,15.94%,12.92%,40.77%,2.87%,https://www.howbuy.com/fund/004350
007288,合煦智远消费主题股票C,01-26,1.4437,1.19%,9.90%,15.90%,24.19%,38.82%,6.46%,https://www.howbuy.com/fund/007288
004730,建信量化事件驱动股票,01-26,1.6225,2.36%,9.22%,15.89%,19.05%,58.35%,5.82%,https://www.howbuy.com/fund/004730
008283,易方达金融行业股票发起式,01-26,1.3906,-2.97%,12.47%,15.85%,30.62%,--,7.70%,https://www.howbuy.com/fund/008283
001162,前海开源优势蓝筹股票A,01-26,1.8710,-0.11%,9.22%,15.78%,25.15%,47.91%,5.77%,https://www.howbuy.com/fund/001162
001638,前海开源优势蓝筹股票C,01-26,2.0500,-0.15%,9.22%,15.75%,25.00%,47.69%,5.72%,https://www.howbuy.com/fund/001638
001044,嘉实新消费股票,01-26,2.6380,4.89%,9.83%,15.75%,23.39%,78.24%,4.39%,https://www.howbuy.com/fund/001044
005635,博时量化多策略股票A,01-26,1.5608,1.92%,9.51%,15.72%,24.52%,48.53%,6.23%,https://www.howbuy.com/fund/005635
001319,农银信息传媒股票,01-26,1.3684,0.15%,9.99%,15.56%,12.37%,38.10%,6.55%,https://www.howbuy.com/fund/001319
005636,博时量化多策略股票C,01-26,1.5260,1.90%,9.44%,15.49%,24.01%,47.35%,6.17%,https://www.howbuy.com/fund/005636
004606,上投摩根优选多因子股票,01-26,1.6161,1.41%,7.98%,15.44%,21.69%,41.66%,4.66%,https://www.howbuy.com/fund/004606
519606,国泰金鑫股票,01-26,2.8080,0.54%,9.47%,15.13%,21.19%,61.94%,6.08%,https://www.howbuy.com/fund/519606
001186,富国文体健康股票A,01-26,2.3470,1.65%,8.81%,15.11%,26.11%,88.82%,6.63%,https://www.howbuy.com/fund/001186
001040,新华策略精选股票,01-26,2.5032,6.21%,12.25%,15.04%,23.92%,89.21%,10.32%,https://www.howbuy.com/fund/001040
005106,银华农业产业股票发起式,01-26,2.4147,4.88%,8.98%,15.04%,15.11%,73.17%,5.82%,https://www.howbuy.com/fund/005106
009398,华富成长企业精选股票,01-26,1.1372,2.72%,11.07%,14.53%,13.99%,--,9.46%,https://www.howbuy.com/fund/009398
001725,汇添富高端制造股票,01-26,2.4920,1.63%,9.93%,14.52%,22.52%,76.74%,5.50%,https://www.howbuy.com/fund/001725
540009,汇丰晋信消费红利股票,01-26,1.3185,2.49%,6.22%,14.49%,29.26%,67.80%,3.62%,https://www.howbuy.com/fund/540009
008871,大成睿裕六月持有股票A,01-26,1.2772,1.30%,5.76%,14.30%,25.20%,--,4.45%,https://www.howbuy.com/fund/008871
164205,天弘文化新兴产业股票,01-26,2.5677,1.10%,7.07%,14.24%,21.06%,47.77%,3.74%,https://www.howbuy.com/fund/164205
001410,信达澳银新能源产业股票,01-26,3.8530,0.03%,6.23%,14.23%,18.30%,45.62%,4.42%,https://www.howbuy.com/fund/001410
000549,华安大国新经济股票,01-26,3.3100,0.95%,7.02%,14.18%,15.82%,37.80%,4.48%,https://www.howbuy.com/fund/000549
005303,嘉实医药健康股票A,01-26,2.4231,8.35%,9.48%,14.13%,9.21%,81.36%,8.20%,https://www.howbuy.com/fund/005303
008872,大成睿裕六月持有股票C,01-26,1.2723,1.30%,5.71%,14.13%,24.82%,--,4.41%,https://www.howbuy.com/fund/008872
005304,嘉实医药健康股票C,01-26,2.3646,8.33%,9.40%,13.90%,8.77%,79.90%,8.14%,https://www.howbuy.com/fund/005304
009896,广发港股通成长精选股A,01-26,1.1306,0.35%,10.09%,13.87%,--,--,7.57%,https://www.howbuy.com/fund/009896
004683,建信高端医疗股票,01-26,2.1477,7.76%,9.97%,13.82%,16.12%,84.29%,6.59%,https://www.howbuy.com/fund/004683
000309,大摩品质生活精选股票,01-26,3.4800,0.00%,8.58%,13.76%,24.46%,58.47%,5.36%,https://www.howbuy.com/fund/000309
008768,创金合信上证超大盘量化A,01-26,1.2646,-1.03%,8.22%,13.75%,19.89%,31.62%,4.45%,https://www.howbuy.com/fund/008768
009897,广发港股通成长精选股C,01-26,1.1289,0.34%,10.05%,13.74%,--,--,7.55%,https://www.howbuy.com/fund/009897
001579,国泰大农业股票,01-26,2.6540,3.43%,6.76%,13.71%,11.42%,65.15%,4.53%,https://www.howbuy.com/fund/001579
008769,创金合信上证超大盘量化C,01-26,1.2578,-1.04%,8.18%,13.61%,19.59%,30.97%,4.42%,https://www.howbuy.com/fund/008769
001404,招商移动互联网产业股票,01-26,1.3390,-3.04%,12.71%,13.57%,5.77%,34.98%,9.22%,https://www.howbuy.com/fund/001404
001277,博时国企改革股票,01-26,1.0760,2.97%,9.35%,13.50%,12.08%,34.00%,7.06%,https://www.howbuy.com/fund/001277
006803,嘉实互通精选股票,01-26,1.3909,0.88%,8.61%,13.49%,11.31%,28.75%,4.96%,https://www.howbuy.com/fund/006803
006257,信达澳银先进智造股票,01-26,2.3585,-0.17%,5.67%,13.28%,17.90%,50.55%,4.25%,https://www.howbuy.com/fund/006257
001672,国寿安保智慧生活股票,01-26,1.8770,1.68%,7.44%,13.21%,26.06%,55.39%,5.63%,https://www.howbuy.com/fund/001672
001521,国寿安保成长优选股票,01-26,1.7880,2.64%,6.94%,13.09%,20.81%,38.07%,6.94%,https://www.howbuy.com/fund/001521
000955,南方产业活力股票,01-26,1.9750,3.84%,8.94%,13.05%,16.59%,58.76%,5.05%,https://www.howbuy.com/fund/000955
001195,工银农业产业股票,01-26,1.4060,2.55%,7.08%,12.93%,23.77%,86.97%,5.48%,https://www.howbuy.com/fund/001195
009513,创金合信同顺创业板精选股A,01-26,1.2159,1.91%,11.93%,12.86%,16.53%,--,6.33%,https://www.howbuy.com/fund/009513
001556,天弘中证500指数增强A,01-26,1.2985,2.08%,7.77%,12.83%,13.92%,48.79%,5.71%,https://www.howbuy.com/fund/001556
008128,湘财长源股票A,01-26,1.1940,-1.82%,2.20%,12.81%,19.54%,49.55%,0.34%,https://www.howbuy.com/fund/008128
160133,南方天元新产业股票LOF,01-26,4.8650,3.53%,8.55%,12.77%,16.00%,62.87%,4.89%,https://www.howbuy.com/fund/160133
001557,天弘中证500指数增强C,01-26,1.2756,2.08%,7.74%,12.76%,13.75%,48.34%,5.68%,https://www.howbuy.com/fund/001557
009514,创金合信同顺创业板精选股C,01-26,1.2124,1.90%,11.89%,12.71%,16.24%,--,6.29%,https://www.howbuy.com/fund/009514
008129,湘财长源股票C,01-26,1.1835,-1.83%,2.15%,12.65%,19.14%,48.33%,0.31%,https://www.howbuy.com/fund/008129
001028,华安物联网主题股票,01-26,1.2910,0.55%,6.78%,12.65%,11.49%,36.04%,4.03%,https://www.howbuy.com/fund/001028
000991,工银战略转型股票,01-26,3.1320,-2.52%,4.33%,12.62%,33.56%,100.26%,1.89%,https://www.howbuy.com/fund/000991
000711,嘉实医疗保健股票,01-26,3.2220,7.94%,8.52%,12.50%,15.57%,68.25%,7.36%,https://www.howbuy.com/fund/000711
008709,银河龙头股票,01-26,1.1056,5.02%,11.15%,12.47%,--,--,8.94%,https://www.howbuy.com/fund/008709
001915,宝盈医疗健康沪港深股票,01-26,2.2990,8.60%,10.48%,12.37%,8.91%,78.63%,10.00%,https://www.howbuy.com/fund/001915
009069,大成睿鑫股票A,01-26,1.1157,0.94%,4.97%,12.00%,--,--,3.34%,https://www.howbuy.com/fund/009069
009070,大成睿鑫股票C,01-26,1.1136,0.93%,4.93%,11.89%,--,--,3.31%,https://www.howbuy.com/fund/009070
519673,银河康乐股票,01-26,3.4420,3.08%,6.40%,11.86%,20.56%,77.42%,3.49%,https://www.howbuy.com/fund/519673
009557,申万菱信创业板量化精选股票A,01-26,1.1292,4.00%,9.03%,11.77%,12.50%,--,7.52%,https://www.howbuy.com/fund/009557
006502,财通集成电路产业股票A,01-26,2.0504,3.07%,7.80%,11.68%,13.04%,29.13%,6.24%,https://www.howbuy.com/fund/006502
005802,添富智能制造股票,01-26,1.7780,2.07%,9.05%,11.62%,17.84%,63.15%,4.64%,https://www.howbuy.com/fund/005802
006503,财通集成电路产业股票C,01-26,2.0153,3.06%,7.72%,11.45%,12.59%,28.09%,6.17%,https://www.howbuy.com/fund/006503
003232,创金合信金融地产股票A,01-26,1.2301,-3.20%,9.52%,11.45%,18.47%,26.66%,3.81%,https://www.howbuy.com/fund/003232
003233,创金合信金融地产股票C,01-26,1.2099,-3.22%,9.45%,11.27%,18.05%,25.78%,3.77%,https://www.howbuy.com/fund/003233
